year,month,import_val,export_val,import_kg,export_kg,import_val_growth,import_val_growth_5,export_val_growth,export_val_growth_5,wld_diversity,wld_diversity_eff,hs_diversity,hs_diversity_eff,eci,bra_id,ibge_id
2000,0,4693534.00,None,108619,None,None,None,None,None,0,None,0,None,None,1am000004,1301209
2001,0,5984256.00,141019.00,116471,115,0.275,None,None,None,1,1.0,1,1.0,None,1am000004,1301209
2002,0,3564164.00,None,103600,None,-0.40441,None,None,None,0,None,0,None,None,1am000004,1301209
2003,0,23333859.00,None,2304320,None,5.5468,None,None,None,0,None,0,None,None,1am000004,1301209
2004,0,5877425.00,None,34717,None,-0.748116,None,None,None,0,None,0,None,None,1am000004,1301209
2005,0,1480134.00,None,6971,None,-0.748166,-0.20611,None,None,0,None,0,None,None,1am000004,1301209
2006,0,3966790.00,3000.00,57253,18,1.68002,-0.0789445,None,-0.537013,1,1.0,1,1.0,9.46948e-05,1am000004,1301209
2007,0,32143119.00,None,1081934,None,7.10306,0.55248,None,None,0,None,0,None,None,1am000004,1301209
2008,0,6283172.00,None,173033,None,-0.804525,-0.230801,None,None,0,None,0,None,None,1am000004,1301209
2009,0,9579570.00,60000.00,332509,500,0.524639,0.102635,None,None,1,1.0,1,1.0,0.000233124,1am000004,1301209
2010,0,34007719.00,None,1089547,None,2.55003,0.871782,None,None,0,None,0,None,None,1am000004,1301209
2011,0,6425721.00,None,206733,None,-0.811051,0.101277,None,None,0,None,0,None,None,1am000004,1301209
2012,0,9462908.00,None,515679,None,0.472661,-0.216954,None,None,0,None,0,None,None,1am000004,1301209
2013,0,34213283.00,None,3696248,None,2.61551,0.40347,None,None,0,None,0,None,None,1am000004,1301209
2014,0,6687163.00,None,407966,None,-0.804545,-0.0693654,None,None,0,None,0,None,None,1am000004,1301209
2000,0,3887393710.00,770015740.00,1982326144,144816764,None,None,None,None,90,9.35926,181,10.1247,None,1am000206,1302603
2001,0,3321016518.00,854087796.00,1305104175,129978923,-0.145696,None,0.109182,None,89,10.9426,210,12.482,None,1am000206,1302603
2002,0,3044650414.00,1034055768.00,1379252202,148264023,-0.0832173,None,0.210714,None,92,6.04099,221,8.19354,3.09034,1am000206,1302603
2003,0,3403093580.00,1271293836.00,881534746,187564241,0.117729,None,0.229425,None,104,6.39866,251,8.46205,3.13,1am000206,1302603
2004,0,4284606256.00,1138862686.00,831702935,163034977,0.259033,None,-0.10417,None,114,14.5017,239,14.7914,4.98283,1am000206,1302603
2005,0,5194677019.00,2117485959.00,856410831,151670426,0.212405,0.0596929,0.859299,0.224233,104,12.3997,224,7.16761,7.25081,1am000206,1302603
2006,0,6251773232.00,1525978351.00,965475873,101031647,0.203496,0.134871,-0.279344,0.123076,102,12.7112,227,9.21387,8.91745,1am000206,1302603
2007,0,6807127546.00,1188535203.00,1098041366,150306502,0.0888315,0.174587,-0.221132,0.0282379,102,13.8573,271,15.5188,9.3306,1am000206,1302603
2008,0,10011885995.00,1264441751.00,1418127544,129308716,0.470795,0.240876,0.0638656,-0.0010803,99,12.1053,260,11.1077,8.18518,1am000206,1302603
2009,0,6925219351.00,917446056.00,1176943437,110062759,-0.3083,0.10079,-0.274426,-0.0423169,94,12.9034,327,10.4237,6.5114,1am000206,1302603
2010,0,10995347701.00,1136599398.00,1769100062,116065637,0.587726,0.161797,0.238873,-0.117007,99,13.0096,246,13.1239,9.52682,1am000206,1302603
2011,0,12708819327.00,898857428.00,2147483647,117719163,0.155836,0.152446,-0.20917,-0.100443,86,14.9225,235,18.86,6.96282,1am000206,1302603
2012,0,13380496266.00,947783622.00,2147483647,97488924,0.0528512,0.144726,0.0544315,-0.0442607,84,14.348,251,15.0757,8.2043,1am000206,1302603
2013,0,14080283433.00,1033250101.00,2147483647,103178045,0.052299,0.0705799,0.0901751,-0.0395797,87,13.7888,254,14.1007,9.97212,1am000206,1302603
2014,0,12886629580.00,899627954.00,2147483647,110648165,-0.0847748,0.132247,-0.129322,-0.00391481,82,13.2358,269,14.3953,7.64528,1am000206,1302603
2000,0,113931148.00,195637873.00,427689643,332078173,None,None,None,None,79,14.9426,63,9.03696,None,1pa020002,1501402
2001,0,80249980.00,171844046.00,325113421,273618925,-0.295627,None,-0.121622,None,86,16.3081,98,10.4987,None,1pa020002,1501402
2002,0,59567138.00,157462768.00,285467013,260278689,-0.25773,None,-0.083688,None,89,16.3535,121,10.9031,-4.11952,1pa020002,1501402
2003,0,62394632.00,187477028.00,331433995,346155328,0.0474673,None,0.190612,None,91,14.8916,155,11.9663,-6.92859,1pa020002,1501402
2004,0,56161826.00,236881936.00,230469583,447699464,-0.0998933,None,0.263525,None,98,15.7481,167,11.5641,-4.57131,1pa020002,1501402
2005,0,40539906.00,265334574.00,140717342,345663990,-0.278159,-0.186705,0.120113,0.0628407,103,15.8712,196,12.2982,-4.35053,1pa020002,1501402
2006,0,36026020.00,326666202.00,125095375,359488356,-0.111344,-0.14801,0.231148,0.137088,100,14.6352,131,11.6722,-6.64565,1pa020002,1501402
2007,0,69863023.00,493737143.00,196087826,461265202,0.939238,0.0324003,0.511442,0.256793,101,13.6336,126,8.70749,-8.00566,1pa020002,1501402
2008,0,86920700.00,406417325.00,196826930,336866923,0.244159,0.0685509,-0.176855,0.16736,100,14.7833,124,9.66366,-8.22288,1pa020002,1501402
2009,0,61245247.00,343889339.00,126193035,285172260,-0.295389,0.0174808,-0.153852,0.077401,100,13.5133,154,9.29807,-6.96135,1pa020002,1501402
2010,0,99794421.00,467382727.00,164908551,297604280,0.629423,0.197415,0.359108,0.119891,83,11.2955,175,8.41828,-7.04526,1pa020002,1501402
2011,0,146646851.00,434694021.00,213123059,276421017,0.469489,0.324132,-0.0699399,0.0588048,95,16.8217,168,10.1067,-6.96088,1pa020002,1501402
2012,0,120321109.00,369280879.00,250576987,259769209,-0.179518,0.114856,-0.150481,-0.0564342,99,16.7477,166,12.5632,-6.57529,1pa020002,1501402
2013,0,160761716.00,376817372.00,343962316,249260879,0.336106,0.130868,0.0204086,-0.0150102,91,14.87,128,11.5946,-6.5728,1pa020002,1501402
2014,0,135139103.00,421782917.00,268859202,290678353,-0.159383,0.171498,0.11933,0.0416793,94,15.5101,111,10.7719,-7.09475,1pa020002,1501402
2000,0,15982076.00,771304420.00,4347673,2147483647,None,None,None,None,25,11.8311,3,1.46697,None,1pa040304,1505536
2001,0,31772312.00,810538512.00,5888348,2147483647,0.987997,None,0.0508672,None,26,12.1137,4,1.42184,None,1pa040304,1505536
2002,0,35172019.00,758003958.00,5254587,2147483647,0.107002,None,-0.0648144,None,24,12.7336,3,1.28228,-0.393206,1pa040304,1505536
2003,0,50901409.00,733011005.00,6700720,2147483647,0.447213,None,-0.0329721,None,21,11.4543,2,1.00001,-0.104435,1pa040304,1505536
2004,0,78343041.00,1007504958.00,11386816,2147483647,0.539113,None,0.374475,None,19,10.7643,3,1.00003,-0.297513,1pa040304,1505536
